
7up;0;0;8,7;38

"Actimel of different types""";2,9;1,6;12;75

Almond petals; 22; 58;12; 650

Almonds;18.6;53.7; 13;609 

Amaranth groats; 13.6; 7; 58.6;371

Apple; 0.5; 0.1;10.1; 46

Apple juice; 0.4;0.4;9.8; 47

Apricot; 5;0,4;53; 242

Apricot juice; 0.9; 0.1; 12.7; 55

Apricots; 0.9; 0.1; 9; 44

Argentina; 17.6;2; 0; 88

Artichoke;1,2; 0,1;6; 28

Arugula;2.6;0.7;2.1; 25

Asparagus; 1,9; 0,1;3,1; 21

Aspen trees; 3,3; 0,5;1,2; 22

Atlantic cod;17.8;0.7;0; 82

Atlantic fat herring; 17.7;19.5;0; 248

Atlantic herring, low-fat;19.1;6.5; 0; 135

Atlantic herring, medium-salted; 17; 8.5;0; 145

Atlantic mackerel; 18; 13.2; 0; 191

Atlantic salmon(salmon); 20;8,1;0; 153

Autumn Capelin;13.6;18.1;0; 217 

Avocado; 2; 14.6;8.5; 160

Baltic sprats smoked;21,3;8,5;0;162

Banana; 1.5; 0.5; 21; 96

Barley groats; 10; 1,3; 65,4;313

Basil;2.5;0.6;4.3; 27

Beef 2 categories; 20; 9.8;0; 168

Beef heart; 16; 3,5;2; 96

Beef kidneys; 15.2;2.8;1.9; 86

Beef liver; 17.9;3.7;5.3;127

Beef sausages; 10,4;20,1;0,8;226

Beef sausages; 11,4;18,2;1,3;215

Beef tongue; 16;12.1;2.2;173

Beef, tenderloin; 22.2;7.1; 0; 158

Beer without alcohol; 0; 0;6.1; 33

Beetroot; 1,2; 0,1;7,1; 32

Beetroot; 1.5; 0.1;8.8; 42

Birch;0,1; 0;5,8; 24

Biscuits; 11;1.5;75; 360

Bitter chocolate;8; 36;46.8;540

Black currant;1; 0,4;7,3; 44

Black currant jam; 0,6;0; 72,9;282

Black radish; 1,9;0,2;6,7; 36

Black sturgeon caviar grainy; 28.4;9.3;0.6; 200

Black tea with milk and sugar; 0.7;0.8;8.2; 4

Black tea with sugar; 0,1; 0; 7; 28

Black tea without sugar; 0,1; 0;0; 0

Blackberries; 1.5;0.5;4.4; 34

Blueberries; 1; 0.5;6.6; 39

Blueberries; 1,1;0,6;7,6; 44

Blueberry jam; 0.4; 0; 51.6;211 Apple

Bluefin Tuna; 23.3;4.9; 0; 144

Boar; 21,5;3,3;0; 122

Boiled Barley groats; 2,3;0,3;15,7; 76

Boiled Chickpeas;8.9;2.6;27.4;164 

Boiled Millet;3.5;1.1;23.6;119

Boiled Pearl barley; 3.1;0.4;22.2;109

Boiled amaranth;3,8;1,6;16.6; 102

Boiled beets; 1,8; 0,1;9,8; 48

Boiled broccoli cabbage; 2.38;0.4;7.18; 35

Boiled buckwheat; 4,1; 1; 18,5; 100

Boiled cabbage; 1,4; 0,1;4,2; 24

Boiled carrots; 1,3; 0,1;6,4; 33

Boiled lentils; 9;0,4;20,1;116

Boiled lobster; 20,5;0,7;0,3; 90

Boiled lobster;20,5;0,7;0,3; 90

Boiled potatoes; 2; 0,4;15,8; 75

Boiled pumpkin; 1,2; 0,1;4,9; 26

Boiled quinoa;4,4;1,9;18,5; 120

Boiled red beans; 8,7; 0,5; 22,8; 127 

Boiled river cancer;20,3;1,3; 1; 97

Boiled soybeans; 16,6; 8,9;9,9; 173

Boiled sweet potato without skin; 1,4; 0,14;15,2; 76

Boletus;2,1;0,8;1,2;20

Brazil nut;14.3;67.1;4.2;659

"Bread Dr.Körner ""Borodino""";11;3;52;280 

"Bread Dr.Körner ""Buckwheat with vitamins";11,6;3;52,4;283 

"Bread Dr.Körner ""Rice with vitamins";6;1;69;310 

"Bread Dr.Körner ""Seven-grain""";10;2;57;290 

Bread from rye-wheat flour;6,8;1,2;46,4;215 

Bread from wheat flour;7,6;2,9;51,4;262 

Bread from wheat flour 1st grade;7,6;0,9;49,7;226 

Bread kvass; 0,2; 0;5,2; 27

"Bread""Borodinsky""""""";6,9;1,3;40,9;208 

Bread, cereal (flour C);8,6;1,4;45,1;228 

Bread, whole-grain cereals;13,3;4,2;43,3;265

Bream; 17.1;4.1; 0; 105

Broccoli cabbage; 2.8;0.37;6.6; 34

Broccoli frozen, boiled; 3,1; 0,12;5,35; 28

Broilers (chickens) 1 cat.; 18,7;16,1; 0; 220

Broilers (chickens) 2 cat.; 19,7; 11,2; 0; 180

Brussels sprouts; 3,4;0,3;8,9; 43

Brussels sprouts, frozen, boiled; 3,6;0,4;8,3; 42

Buckwheat bread; 9,5;2,3;60.4; 300 fresh

Buckwheat kernel; 12.6;3.3;57.1;308

Bull; 17.5;2; 0; 88

Burbot;18.8;0.6;0; 81

Butter;1;82,5;0,9;748

"Butter ""Valio""";0,7;82;0,7;740

Butterfish smoked;18;12;0;180

"Cake ""Flight""";5,7;24,8;55,4;456

"Cake ""Napoleon""";6,4;42;39;560

"Cake ""fairy Tale"""; 4,3;17,1;46,9; 351 

Cakes; 5; 27.5;59;460

"Candy ""Cow""";2,7;4,4;82,4;351

Cane sugar; 0; 0; 99.7;394

Canned beef stew;16.8;17;0.2; 220

Canned stewed Pork;14.9;32.2;0.2;349

"Capelin Caviar """"Santa Bremor""""""";9,3;38,6;0;382

Caramel;0.8; 1; 96.5;384

Carp;16;5,3;0; 112

Carp;17.7;1.8; 0; 87

Carp;18.2;2.7;0; 97

Carrot; 1,1; 0,1;12,6; 56

Carrots; 1,3; 0,1;6,9; 35

Cashews; 18.5; 48.5;22.5; 600

Caspian sturgeon;16,4;10,9; 0; 164

Category 1 beef; 18.6; 16; 0; 218

Category 1 mutton; 15,6;16,3; 0; 209

Category 2 lamb; 19.8;9.6; 0; 166

Catfish motley;19,6;5,3;0;126

Cauliflower; 2.5;0.3;4.2; 30

Celery greens; 0.9;0.1;2.1; 13

Celery root; 1,3;0,3;6,5; 37

Chak-chak; 8,6;1,9;77,9;363

Champignons;4,3;1; 0,1; 27

Chanterelles; 1.5;1;1; 19

Chard; 1,8;0,2;2,1; 19

"Cheese ""Adygeisky""";19,8;19,8;1,5;264

"Cheese ""Dutch"" round""";23,7;30,4;0;375

"Cheese ""Dutch"" squared""";26;26,8;0;352

"Cheese ""Edam""";25;27,8;1,4;357

"Cheese ""Viola""";11;28;2;305

"Cheese""Feta""""""";14,2;21,3;4;264

"Cheese""Gouda""""""";25;27;2;356

"Cheese""Lamber""""""";23,7;30,5;0;377

"Cheese""Lamber,"""" creamy""""""";23,7;32,5;0;395

"Cheese""Maasdam""""""";23,5;26;0;350

"Cheese""Parmesan""""""";37,8;27,3;3,4;415

"Cheese""Russian""""""";23,2;29,5;0;364

"Cheese""Tilsiter""""""";24,4;26;1,9;340

Cherries; 1,1;0,4;10,6; 52

Cherry;0.8;0.2;10.6; 52

Cherry jam;0; 0; 64;256

Cherry plum; 0,2; 0,1;7,9; 34

Cherry tomatoes; 0.8; 0.1;2.8; 15

Chia seeds;16.5;30.7;7.7;486

Chicken 1 cat.; 18.2;18.4; 0; 238

Chicken 2 cat.; 21.2;8.2;0; 159

Chicken breast; 23.6;1.9;0; 113

Chicken egg;12,7;10,9;0,7;157 

Chicken heart;15.8;10.3;0.8;159

Chicken legs; 16.8;10.2;0; 158

Chicken liver;19.1;6.3;0.6;136

Chicken sausages; 10.8;22.4;4.2;259

Chickpeas; 20.5;4.3;63; 360

"Chocolate bar ""Snickers""";9,3;27,9;54,6;507

Chocolate butter;1,5;62;18,6;642

Chopped Ham;16.3;20.7;1.8; 263

Cloudberry; 0,8;0,9;7,4; 40

Coca-Cola; 0; 0;10,4;42

Cocoa powder; 24.3; 15; 10.2;289

Cod liver;4,2;65,7;1,2; 613

Coffee black grain without sugar; 0,2; 0,5;0,3; 7

Coffee with milk and sugar; 0,7; 1; 11,2; 58

Coho salmon;21,6;5,9;0;146

Cold-smoked Bream;29.7;4.6; 0; 160

Cold-smoked mackerel; 23.4;6.4;0; 150

Cold-smoked sturgeon, balyk; 20,4;12,5; 0; 194

Collards cabbage (Collards); 3; 0,6;1,4; 32

Condensed milk with sugar 8.5%, Belarus; 7.2;8.5; 56; 329

"Cooked sausage """"Moscow""";11,5;21,8;2;250

"Cooked sausage ""Amateur""";12,2;28;0,1;301

"Cooked sausage ""Doctor""";12,8;22,2;1,5;257

"Cooked sausage ""Milk""";11,7;22,8;0,2;252

"Cooked sausage ""Russian""";11,5;27,9;1,7;302

Cookies; 10,4;10;76,8;415

Corn groats; 8,3;1,2;71;328

Corn, food grain; 10.3;4.9;60;325

Cottage cheese 18%;15;18;2,8;236

Cottage cheese 5%;21;5;3;145

Cottage cheese 9%;18;9;3;169

Cow's milk cheese;22.1;19.2;0.4;262

Crab sticks; 7;0.7;16.2; 95

Crabs; 18.7;1.1;0.1; 85

Cranberries; 0.5;0.2;3.7; 28

Cream 10%;2,7;10;4,4;119

Cream 20%;2,5;20;4;205

Croissants; 8; 19,28,8;47;470

Cupcake with raisins; 6,4;17,6;53,6;384

Cupid white; 18.6;5.3; 0; 134

Daikon;1,2; 0;4,1;21

Dates; 2.5; 0.5;69.2; 292

Dill; 2.5;0.5;6.3; 40

Domestic duck, meat and skin;15.8;38; 0; 405

Domestic goose, meat; 22,7;7,1; 0; 161

Domestic goose, meat and skin;15,8;39; 0; 412

Dorado;18;3;0; 96

Dried Pear; 2,3;0,6;62,6;270

Dried apples; 2,2; 0,1; 59; 253

Dried apricots; 5,2;0,3;51;232

Dried aspen; 35,4;5,4;33,2;315

Dried bananas; 3,9;1,8;78,4;346

Dried boletus; 23,5;9,2;14,3;231

Dried bream; 42;5,9;0; 221

Dried cherries; 1.5; 0; 73; 290

Dried figs; 3,1;0,8;57,9; 257

Dried melon; 0.7; 0.1;82.2; 341

Dried peach; 3; 0,4;57,7;254

Dried roach;46,4;5,5; 0; 235

Dried spirulina; 57.5;7.72;23.4;290

Dried squid; 62; 2;5;286

Dried white mushrooms; 30,3; 14,3;9; 286

Dry rosehip;3,4;1,4;48,3;284

Durian; 1.5;5.3;23.3;147

Egg duck;13,3;14,5;0,1;185

Egg fried without oil;14,6;12,6;0,8;174 

Egg powder;46;37,3;4,5;542 

Eggplant; 1,2; 0,1;4,5; 24

Eggplant caviar; 1,7;13,3;5,1;148

Eggs boiled;12,7;11,5;0,7;157 

Elk; 23;1.5;0;111

Fanta; 0; 0; 11.7;48

Far Eastern flounder;15.7;3; 0; 90

Fat;2,4;89;0; 797

Fat beef, pork, mutton ghee;0;99,7;0;897

Fat cooking, confectionery;0;99,7;0;897

Fat fish;0;100;0;902

Fat pork; 11.7;49.3; 0; 491 

Feijoa;0.7;0.4;8.8; 61

Fish Milk;16;2.9;0; 90

Flax seeds; 18.3;42.2;28.9;534

Fresh figs; 0,7;0,2; 12; 54

Fresh green peas; 5; 0,2;8,3; 55

Fresh oyster Mushrooms;2.5;0.3;6.5;3.8

Fresh pears; 1,8; 0,5;0,8; 16

Fresh rosemary;3,3;5,9;17,6;131

Fresh thyme; 5,6;1,7;15,9; 101

Fried Pistachios without oil; 21.1;45.8;17.3;569

Garlic;6.5;0.5;29.9;149

Garnet;0.3; 0.1;14.2; 56

Garnet;0.7;0.6;14.5; 72

Ginger, raw root; 1,8; 0,75;15,8; 80

Gooseberry;0.7;0.2;9.1; 45

Granulated sugar; 0; 0; 99.8;399

Grape;0.3;0.2;16.3; 70

Grapefruit; 0.3;0.1;7.9; 38

Grapefruit; 0.7;0.2;6.5; 35

Grapes;0.6;0.6;15.4; 72

Greek Yogurt; 7; 6;4,2; 100

"Green Buckwheat (""""Mistral"""")""";13,4;3;68;328

Green onion; 1,3; 0,1;3,2; 20

Green radish;2;0,2;5,6; 32

Green tea; 0; 0;0; 0

Greenhouse cucumbers; 0,7; 0,1;1,9; 11

Greenhouse tomatoes; 0,9; 0,1;2,9; 17

Ground cucumbers; 0,8; 0,1;2,5; 14

Ground tomatoes; 1,1;0,2;3,8; 24

Haddock;17.2;0.5;0; 73

Hake; 16.6;2.2;0; 86

Halibut; 18,9;3; 0; 103

Halva;11.6;29.7;54;516

Hazelnut(hazel); 13; 62.6;9.3;653

Hazelnuts (cultivated hazel); 15; 61.5;9.4; 651 

Hell;3,2;0,4;10,5;59

Herring;17.5;2;0; 88

Herring ROE; 31.6;10.3;0; 222

Herring in vegetable oil; 16,4;26,5; 0; 301

Honey Cake; 6; 29;49; 480

Horse Mackerel in oil; 15.6;27.4; 0; 309

Horse Mackerel in tomato sauce;14.8;2.3;73; 110

Horse Meat; 20,2;7; 0; 187

Hot smoked Mackerel;22.1;23.8; 0; 307

Hot smoked herring;21.8;14.3; 0; 215

Hot smoked sea bass; 23,5;8; 0; 166

Hot-smoked bream; 32.8;4.5; 0; 172 

IDE; 18.2;1;0; 81

Ice cream sundae;3,2; 15;20,8;227

Ice fish;15.5;1.4;0; 75

Instant chicory; 0.1; 0;2.8; 11

Jam;0,6;0,5; 74; 285

Jam;0.4; 0; 68.7;260

Jerusalem artichoke;2.1; 0.1;12.8; 61

Kale leafy cabbage(Kale, Kale); 2,8;0,6;6,6; 42

Kamchatka crab, meat; 18.2;1; 0; 82

Kefir 1%;3;1;4;40

Kefir 2,5%;2,9;2,5;4;53

Kefir 3,2%;2,9;3,2;4;59

Kelp (seaweed) dried; 31.5;21.8;38.1; 476

Kelp (seaweed) raw;1.7;0.56;8.9; 43

Keta; 19;5,6; 0; 127

Kishmish raisins; 2,3;0,5;65,8; 281

Kiwis;0.8;0.4;8.1; 47

Kohlrabi cabbage; 2.8;0.1;7.9; 44

Kozinak from sunflower seeds; 14.8;42.6;34.5;576

Kumquat;1.9;0.9;13.4; 71

"Kvass Ochakovsky""""""";0;0;5,5;30

